Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
vh_52,survey_perception_substance_use,,radio,Does it seem close enough to touch?,"0, Yes|1, No|2, Sometimes",,,,,,"[vh_2] = '1' and [chat_vh_results_v2] > '1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,,
vh_53,survey_perception_substance_use,,yesno,Does the image move when you turn your head?,,,,,,,"[vh_2] = '1' and [chat_vh_results_v2] > '1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,,
vh_54,survey_perception_substance_use,,yesno,"If human, did it talk or make noise?",,,,,,,"[vh_2] = '1' and [chat_vh_results_v2] > '1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,,
vh_55,survey_perception_substance_use,,dropdown,Is it familiar or unfamiliar in content?,"1, Familiar | 2, Sometimes familiar, sometimes unfamiliar | 3, Unfamiliar",,,,,,"[vh_2] = '1' and [chat_vh_results_v2] > '1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,,
vh_56,survey_perception_substance_use,,yesno,Does it look like anyone you know?,,,,,,,"[vh_2] = '1' and [chat_vh_results_v2] > '1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,,
vh_57,survey_perception_substance_use,,checkbox,"Did it seem to be black and white, one color, or many colors?","1, Black and white|2, One color|3, Many colors",,,,,,"[vh_2] = '1' and [chat_vh_results_v2] > '1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,,
vh_58,survey_perception_substance_use,,yesno,Does anything trigger the VE?,,,,,,,"[vh_2] = '1' and [chat_vh_results_v2] > '1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,,
vh_59,survey_perception_substance_use,,text,What triggers the VE?,,,,,,,"[vh_58]='1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs"" and [cope_pw]=""do ah & vh qs""",y,,,,,
feedback_9,survey_perception_substance_use,,yesno,Would you like to leave a comment or feedback on this part of the survey?,,,,,,,"[vh_2] = '1' and [chat_vh_results_v2] > '1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,,
feedback_9a,survey_perception_substance_use,,notes,Please leave your comments or feedback here. ,,,,,,,"[feedback_9]='1' and [student_yn] = '0' and [cope_pw]=""do ah & vh qs""",y,,,,, @NOW
ahrs_1,survey_perception_substance_use, ,dropdown,"<div class=""rich-text-field-label""><p>How many times have you experienced voices in the last <em>24 hours?</em></p></div>","0, None | 1, 1-5x per day | 2, 5-10x per day | 3, 1-2x per hour | 4, 3-6x per hour | 5, 7-10x per hour | 6, 11-20x per hour | 7, 21-50x per hour | 8, Greater than or equal to 1 per minute | 9, Relatively uninterrupted",,,,,,[extra_chat_ahfu_v2] = '1' and [student_yn] = '0',y,,,,,
ahrs_2,survey_perception_substance_use,,dropdown,How real do the voices sound when you hear them?,"0, Undistinguishable from my own thoughts | 1, Imaginary | 2, Vague | 3, Dream-like | 4, Somewhat real | 5, Very real: like actual speech",,,,,,[extra_chat_ahfu_v2] = '1' and [student_yn] = '0',y,,,,,
ahrs_3,survey_perception_substance_use,,dropdown,"On average, how loud is the predominant voice?","0, Too faint to be heard properly | 1, Whispered but clear | 2, Soft | 3, Normal speaking voice | 4, Loud | 5, Yelling/screaming",,,,,,[extra_chat_ahfu_v2] = '1' and [student_yn] = '0',y,,,,,
ahrs_4,survey_perception_substance_use,,dropdown,How many different voices do you hear whose words you can make out?,"0, No voices | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, More than 5",,,,,,[extra_chat_ahfu_v2] = '1' and [student_yn] = '0',y,,,,,
ahrs_5,survey_perception_substance_use,,dropdown,How extended was the most recent content of individual instances of the predominant voice?,"0, No voices or mumbles only | 1, Single word | 2, Phrases | 3, Whole sentences | 4, Multiple sentences | 5, It goes on for longer than 30 seconds",,,,,,[extra_chat_ahfu_v2] = '1' and [student_yn] = '0',y,,,,,
ahrs_6,survey_perception_substance_use,,dropdown,"To what degree do the voices alter what you think, feel, and do?","0, No voices | 1, Doesn't affect me at all | 2, Distracts me occasionally | 3, I am briefly distracted by the voice when it occurs | 4, I mostly have to pay attention to the voice when I hear it | 5, When I hear a voice, it often alters what I do, say and think | 6, When I hear a voice, it completely alters what I do, say and think (talking back, laughing, etc.) | 7, The only thing that is important and I pay attention to is my voices.",,,,,,[extra_chat_ahfu_v2] = '1' and [student_yn] = '0',y,,,,,
ahrs_7,survey_perception_substance_use,,dropdown,How distressing are the voice experiences?,"0, No voices | 1, Not distressing, maybe enjoyable | 2, Mildly distressing | 3, Moderately distressing | 4, Sometimes produces fear or anxiety | 5, Often produces significant fear or anxiety",,,,,,[extra_chat_ahfu_v2] = '1' and [student_yn] = '0',y,,,,,
lshs_1,survey_perception_substance_use,"<div class=""rich-text-field-label""><p>Module: Thoughts on Voices & Experiences</p> <p> </p> <p>REMINDER:</p> <p>We understand that the phrase ""the voices"" or ""my voices"" can seem stigmatizing or lead to labeling. We also understand that for many, ""the voices"" or ""my voices"" really means ""Spirit,"" ""My Higher Power,"" ""My Higher Self,"" ""My Guides,"" ""the Universe,"" ""My Inner Guidance,"" ""Aspects"" and so much more. </p> <p>Because we have so many different groups participating in this study, we had to use the most general term of ""voices."" However, we encourage you to replace the phrase ""my voices"" or ""the voices"" in your mind while reading the question to whatever phrase reflects your beliefs.</p> <p> </p></div>

For each item, please answer how true each statement is for you. 
<em>Your Questionnaires Progress:</em></p> <div class=""progress"" style=""height: 15px; width: 50%;""><br>  <div class=""progress-bar"" style=""width: 7%;"" role=""progressbar"">7%</div> </div> <p> </p> <div style=""font-size: 8pt; font-family: cursive;""> </div> <p> </p></div>",radio,Sometimes a passing thought seems so real that it frightens me.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_2,survey_perception_substance_use,,radio,Sometimes my thoughts seem as real as actual events in my life.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_3,survey_perception_substance_use,,radio,"No matter how much I try to concentrate on my work, unrelated thoughts always creep into my mind.","0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_4,survey_perception_substance_use,,radio,In the past I have had the experience of hearing a person's voice and then found that there was no one there.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_5,survey_perception_substance_use,,radio,The sounds I hear in my daydreams are generally clear and distinct.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_6,survey_perception_substance_use,,radio,The people in my daydreams seem so true to life that I sometimes think they are.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_7,survey_perception_substance_use,,radio,"In my daydreams, I can hear the sound of a tune almost as clearly as if I were actually listening to it.","0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_8,survey_perception_substance_use,,radio,I often hear a voice speaking my thoughts aloud.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_9,survey_perception_substance_use,,radio,I have been troubled by hearing voices in my head.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_10,survey_perception_substance_use,,radio,"On occasion, I have seen a person's face in front of me when no one was in fact there.","0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_11,survey_perception_substance_use,,radio,I have heard the voice of the devil.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
lshs_12,survey_perception_substance_use,,radio,In the past I have heard the voice of my Higher Power speaking to me.,"0, 0 - Never true at all | 1, 1 | 2, 2 | 3, 3 | 4, 4 - Always true",,,,,,,y,,,lshs,,
caps_bl_1,survey_perception_substance_use,"<div class=""rich-text-field-label""><p>Module: Experienced Perceptions and Sensations.</p> <p><span style=""font-size: 14pt; font-weight: normal;"">Please</span><span style=""font-size: 14pt;""> do <em>NOT</em> include experiences</span><span style=""font-size: 14pt; font-weight: normal;""> you've had while under the influence of any psychoactive, spiritual, or ceremonial drug. </span></p> <p><br><span style=""font-weight: normal;"">Please think about your experiences in the</span><span style=""font-size: 14pt;""> past MONTH </span><span style=""font-weight: normal;"">when answering these questions!</span></p></div>",yesno,Do you ever notice that sounds are much louder than they normally would be?,,,,,,,,y,,,,,
caps_bl_1a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_1]='1',y,,,,,
caps_bl_1b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_1]='1',y,,,,,
caps_bl_1c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_1]='1',y,,,,,
caps_bl_2,survey_perception_substance_use,,yesno,"Do you ever sense the presence of another being, despite being unable to see any evidence? ",,,,,,,,y,,,,,
caps_bl_2a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_2]='1',y,,,,,
caps_bl_2b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_2]='1',y,,,,,
caps_bl_2c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_2]='1',y,,,,,
caps_bl_3,survey_perception_substance_use,,yesno,Do you ever hear your own thoughts repeated or echoed? ,,,,,,,,y,,,,,
caps_bl_3a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_3]='1',y,,,,,
caps_bl_3b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_3]='1',y,,,,,
caps_bl_3c,survey_perception_substance_use,,radio,How often does this happen?,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_3]='1',y,,,,,
caps_bl_4,survey_perception_substance_use,,yesno,"Do you ever see shapes, lights or colors even though there is nothing really there? ",,,,,,,,y,,,,,
caps_bl_4a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_4]='1',y,,,,,
caps_bl_4b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_4]='1',y,,,,,
caps_bl_4c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_4]='1',y,,,,,
caps_bl_5,survey_perception_substance_use,,yesno,Do you ever experience unusual burning sensations or other strange feelings in or on your body? ,,,,,,,,y,,,,,
caps_bl_5a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_5]='1',y,,,,,
caps_bl_5b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_5]='1',y,,,,,
caps_bl_5c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_5]='1',y,,,,,
caps_bl_6,survey_perception_substance_use,,yesno,Do you ever hear noises or sounds when there is nothing about to explain them? ,,,,,,,,y,,,,,
caps_bl_6a,survey_perception_substance_use,,radio,How distressing is this for you?,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_6]='1',y,,,,,
caps_bl_6b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_6]='1',y,,,,,
caps_bl_6c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_6]='1',y,,,,,
caps_bl_7,survey_perception_substance_use,,yesno,"Do you ever hear your own thoughts spoken aloud in your head, so that someone near might be able to hear them? ",,,,,,,,y,,,,,
caps_bl_7a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_7]='1',y,,,,,
caps_bl_7b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_7]='1',y,,,,,
caps_bl_7c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_7]='1',y,,,,,
caps_bl_8,survey_perception_substance_use,,yesno,Do you ever detect smells which don't seem to come from your surroundings? ,,,,,,,,y,,,,,
caps_bl_8a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_8]='1',y,,,,,
caps_bl_8b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_8]='1',y,,,,,
caps_bl_8c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_8]='1',y,,,,,
caps_bl_9,survey_perception_substance_use,,yesno,"Do you ever have the sensation that your body, or a part of it, is changing or has changed shape? ",,,,,,,,y,,,,,
caps_bl_9a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_9]='1',y,,,,,
caps_bl_9b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_9]='1',y,,,,,
caps_bl_9c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_9]='1',y,,,,,
caps_bl_10,survey_perception_substance_use,,yesno,Do you ever have the sensation that your limbs might not be your own or might not be properly connected to your body? ,,,,,,,,y,,,,,
caps_bl_10a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_10]='1',y,,,,,
caps_bl_10b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_10]='1',y,,,,,
caps_bl_10c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_10]='1',y,,,,,
caps_bl_11,survey_perception_substance_use,,yesno,Do you ever hear voices commenting on what you are thinking or doing? ,,,,,,,,y,,,,,
caps_bl_11a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_11]='1',y,,,,,
caps_bl_11b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_11]='1',y,,,,,
caps_bl_11c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_11]='1',y,,,,,
caps_bl_12,survey_perception_substance_use,,yesno,"Do you ever feel that someone is touching you, but when you look nobody is there? ",,,,,,,,y,,,,,
caps_bl_12a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_12]='1',y,,,,,
caps_bl_12b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_12]='1',y,,,,,
caps_bl_12c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_12]='1',y,,,,,
caps_bl_13,survey_perception_substance_use,,yesno,Do you ever hear voices saying words or sentences when there is no-one around that might account for it? ,,,,,,,,y,,,,,
caps_bl_13a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_13]='1',y,,,,,
caps_bl_13b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_13]='1',y,,,,,
caps_bl_13c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_13]='1',y,,,,,
caps_bl_14,survey_perception_substance_use,,yesno,Do you ever experience unexplained tastes in your mouth? ,,,,,,,,y,,,,,
caps_bl_14a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_14]='1',y,,,,,
caps_bl_14b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_14]='1',y,,,,,
caps_bl_14c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_14]='1',y,,,,,
caps_bl_15,survey_perception_substance_use,,yesno,Do you ever find that sensations happen all at once and flood you with information? ,,,,,,,,y,,,,,
caps_bl_15a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_15]='1',y,,,,,
caps_bl_15b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_15]='1',y,,,,,
caps_bl_15c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_15]='1',y,,,,,
caps_bl_16,survey_perception_substance_use,,yesno,Do you ever find that sounds are disoriented in strange or unusual ways? ,,,,,,,,y,,,,,
caps_bl_16a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_16]='1',y,,,,,
caps_bl_16b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_16]='1',y,,,,,
caps_bl_16c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_16]='1',y,,,,,
caps_bl_17,survey_perception_substance_use,,yesno,Do you ever have difficulty distinguishing one sensation from another? ,,,,,,,,y,,,,,
caps_bl_17a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_17]='1',y,,,,,
caps_bl_17b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_17]='1',y,,,,,
caps_bl_17c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_17]='1',y,,,,,
caps_bl_18,survey_perception_substance_use,,yesno,Do you ever smell everyday odors and think that they are unusually strong? ,,,,,,,,y,,,,,
caps_bl_18a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_18]='1',y,,,,,
caps_bl_18b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_18]='1',y,,,,,
caps_bl_18c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_18]='1',y,,,,,
caps_bl_19,survey_perception_substance_use,,yesno,"Do you ever find the appearance of things or people seems to change in a puzzling way, e.g. distorted shapes or sizes or color? ",,,,,,,,y,,,,,
caps_bl_19a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_19]='1',y,,,,,
caps_bl_19b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_19]='1',y,,,,,
caps_bl_19c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_19]='1',y,,,,,
caps_bl_20,survey_perception_substance_use,,yesno,"Do you ever find that your skin is more sensitive to touch, heat, or cold than usual? ",,,,,,,,y,,,,,
caps_bl_20a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_20]='1',y,,,,,
caps_bl_20b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_20]='1',y,,,,,
caps_bl_20c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_20]='1',y,,,,,
caps_bl_21,survey_perception_substance_use,,yesno,Do you ever think that food or drinks taste much stronger than they normally would?,,,,,,,,y,,,,,
caps_bl_21a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_21]='1',y,,,,,
caps_bl_21b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_21]='1',y,,,,,
caps_bl_21c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_21]='1',y,,,,,
caps_bl_22,survey_perception_substance_use,,yesno,Do you ever look in the mirror and think that your face seems different from usual? ,,,,,,,,y,,,,,
caps_bl_22a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_22]='1',y,,,,,
caps_bl_22b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_22]='1',y,,,,,
caps_bl_22c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_22]='1',y,,,,,
caps_bl_23,survey_perception_substance_use,,yesno,Do you ever have days where lights or colors seem brighter or more intense than usual? ,,,,,,,,y,,,,,
caps_bl_23a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_23]='1',y,,,,,
caps_bl_23b,survey_perception_substance_use,,radio,How distracting is this for you? ,"1, Not at all distracting | 2, Slightly distracting | 3, Somewhat distracting | 4, Regularly distracting | 5, Very distracting",,,,,,[caps_bl_23]='1',y,,,,,
caps_bl_23c,survey_perception_substance_use,,radio,How often does this happen? ,"1, Hardly happens at all | 2, Does not happen often | 3, Happens sometimes | 4, Happens regularly | 5, Happens all the time",,,,,,[caps_bl_23]='1',y,,,,,
caps_bl_24,survey_perception_substance_use,,yesno,"Do you ever have the feeling that of being uplifted, as if driving or rolling over a road while sitting quietly? ",,,,,,,,y,,,,,
caps_bl_24a,survey_perception_substance_use,,radio,How distressing is this for you? ,"1, Not at all distressing | 2, Slightly distressing | 3, Somewhat distressing | 4, Regularly distressing | 5, Very distressing",,,,,,[caps_bl_24]='1',y,,,,,
